,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,poutcome,deposit
2586,29,management,single,tertiary,no,265,no,no,24,aug,130,2,94,success,yes
2587,51,technician,married,secondary,no,117,no,no,24,aug,467,2,88,unknown,yes
2589,37,blue-collar,married,primary,no,106,yes,no,25,aug,511,1,392,failure,yes
2590,37,technician,married,tertiary,no,127,yes,no,25,aug,192,1,193,success,yes
2591,64,retired,married,tertiary,no,380,no,no,25,aug,479,1,-1,unknown,yes
2592,69,retired,married,secondary,no,0,no,no,25,aug,412,2,-1,unknown,yes
2593,36,management,married,tertiary,no,255,no,no,25,aug,242,6,95,success,yes
2594,43,services,married,secondary,no,2145,no,no,25,aug,291,2,95,success,yes
2595,63,housemaid,married,primary,no,91,no,no,26,aug,128,3,-1,unknown,yes
2596,70,retired,married,secondary,no,1853,no,no,26,aug,314,1,-1,unknown,yes
2599,72,retired,married,secondary,no,1129,no,no,26,aug,186,1,-1,unknown,yes
2600,60,retired,married,tertiary,no,108,no,no,26,aug,624,1,-1,unknown,yes
2601,43,management,single,tertiary,no,1696,yes,no,26,aug,257,1,474,failure,yes
2603,28,management,single,tertiary,no,223,yes,no,27,aug,157,2,119,unknown,yes
2604,36,blue-collar,single,secondary,no,40,yes,no,27,aug,259,3,475,success,yes
2605,66,retired,married,secondary,no,2048,no,no,27,aug,212,1,-1,unknown,yes
2606,33,technician,single,tertiary,no,3689,no,no,27,aug,445,3,-1,unknown,yes
2607,36,technician,single,secondary,no,539,yes,no,27,aug,398,2,477,failure,yes
2608,29,technician,single,secondary,no,590,no,no,27,aug,81,1,94,success,yes
2609,62,unemployed,married,secondary,no,780,no,no,28,aug,162,2,-1,unknown,yes
2610,34,blue-collar,married,secondary,no,1464,yes,no,28,aug,207,3,130,unknown,yes
2611,29,unemployed,single,tertiary,no,1311,no,no,28,aug,622,1,-1,unknown,yes
2612,30,management,married,tertiary,no,7,yes,no,28,aug,173,1,164,unknown,yes
2613,32,technician,married,tertiary,no,636,yes,no,28,aug,370,1,116,success,yes
2615,55,admin.,divorced,secondary,no,1872,no,no,28,aug,155,2,93,failure,yes
2617,27,student,single,tertiary,no,118,no,no,31,aug,160,3,98,failure,yes
2620,52,blue-collar,married,secondary,no,2087,yes,no,31,aug,267,1,474,failure,yes
2622,30,blue-collar,married,primary,no,201,yes,no,31,aug,219,1,157,failure,yes
2623,39,management,married,tertiary,no,119,yes,no,1,sep,265,2,476,success,yes
2625,36,management,married,tertiary,no,1113,no,no,1,sep,212,1,-1,unknown,yes
2626,27,admin.,married,secondary,no,1596,no,no,1,sep,82,1,-1,unknown,yes
2627,51,management,married,tertiary,no,2635,no,no,1,sep,181,1,98,failure,yes
2628,48,technician,married,secondary,no,568,yes,no,2,sep,378,2,386,success,yes
2629,70,retired,married,secondary,no,2626,no,no,2,sep,140,2,-1,unknown,yes
2631,34,services,single,secondary,no,528,yes,no,2,sep,121,3,100,unknown,yes
2632,46,admin.,married,tertiary,no,2552,no,no,3,sep,260,1,94,success,yes
2633,31,self-employed,single,tertiary,no,3343,no,no,3,sep,365,1,94,success,yes
2634,32,admin.,married,secondary,no,995,no,no,3,sep,331,1,99,unknown,yes
2636,30,admin.,single,secondary,no,0,no,no,4,sep,316,3,-1,unknown,yes
2637,55,management,married,primary,no,2587,no,no,4,sep,328,2,94,success,yes
2640,26,technician,single,secondary,no,1231,yes,no,4,sep,230,1,93,success,yes
2642,30,admin.,single,secondary,no,2568,no,no,4,sep,563,1,100,unknown,yes
2643,64,retired,married,tertiary,no,1644,no,no,7,sep,569,4,-1,unknown,yes
2644,36,technician,married,tertiary,no,1354,no,no,7,sep,281,3,97,success,yes
2645,55,admin.,married,secondary,no,602,no,no,7,sep,350,1,98,success,yes
2646,63,retired,married,tertiary,no,1795,no,no,7,sep,219,1,-1,unknown,yes
2647,52,technician,married,secondary,no,0,yes,no,7,sep,211,1,294,failure,yes
2648,34,management,single,tertiary,no,268,no,no,7,sep,587,1,-1,unknown,yes
2649,36,services,married,secondary,no,52,yes,no,7,sep,351,1,95,success,yes
2650,31,management,single,tertiary,no,924,no,no,7,sep,231,1,94,success,yes
2651,47,retired,single,primary,no,3033,no,no,8,sep,293,1,-1,unknown,yes
2653,70,retired,divorced,secondary,no,0,no,no,8,sep,206,1,-1,unknown,yes
2655,33,self-employed,married,secondary,no,409,no,no,8,sep,165,1,97,success,yes
2656,24,technician,single,secondary,no,726,no,no,8,sep,445,2,-1,unknown,yes
2657,25,admin.,single,secondary,no,1871,no,no,8,sep,260,1,96,success,yes
2658,26,management,single,tertiary,no,1094,yes,no,8,sep,137,1,-1,unknown,yes
2659,32,management,single,tertiary,no,2915,no,no,8,sep,519,1,131,failure,yes
2661,58,management,married,tertiary,no,1227,no,no,8,sep,400,2,95,success,yes
2662,42,management,married,tertiary,no,1205,no,no,8,sep,376,2,-1,unknown,yes
2663,30,blue-collar,single,secondary,no,161,no,yes,8,sep,298,3,-1,unknown,yes
2667,30,management,single,tertiary,no,147,no,no,9,sep,234,1,100,failure,yes
2668,60,retired,married,secondary,no,0,no,no,9,sep,408,1,-1,unknown,yes
2669,51,unemployed,married,secondary,no,1416,no,no,9,sep,345,1,-1,unknown,yes
2672,32,admin.,single,secondary,no,555,yes,no,9,sep,344,1,-1,unknown,yes
2673,34,management,married,tertiary,no,158,no,no,9,sep,278,2,132,failure,yes
2674,28,admin.,single,secondary,no,261,yes,yes,9,sep,259,2,98,success,yes
2675,45,management,married,tertiary,no,786,no,no,10,sep,84,3,-1,unknown,yes
2676,53,entrepreneur,married,primary,no,27,yes,no,10,sep,230,3,-1,unknown,yes
2678,56,admin.,single,secondary,no,2815,yes,no,11,sep,212,1,-1,unknown,yes
2679,42,technician,married,secondary,no,3082,no,no,11,sep,285,1,-1,unknown,yes
2680,47,technician,married,secondary,no,1233,yes,no,11,sep,91,1,100,unknown,yes
2682,46,blue-collar,married,secondary,no,640,yes,no,11,sep,108,2,129,failure,yes
2683,73,retired,married,tertiary,no,1843,no,no,11,sep,106,2,-1,unknown,yes
2684,28,blue-collar,single,secondary,no,322,no,no,11,sep,240,2,95,unknown,yes
2686,74,retired,married,primary,no,1765,no,no,11,sep,290,2,-1,unknown,yes
2687,71,retired,divorced,tertiary,yes,1236,yes,no,14,sep,335,4,-1,unknown,yes
2689,73,retired,married,primary,no,934,no,no,14,sep,961,5,-1,unknown,yes
2690,47,technician,divorced,secondary,no,1013,no,no,15,sep,170,1,92,failure,yes
2691,49,technician,divorced,tertiary,no,596,yes,no,15,sep,722,1,-1,unknown,yes
2693,57,blue-collar,married,primary,no,3109,no,no,15,sep,107,2,105,success,yes
2694,50,housemaid,married,secondary,no,388,no,no,15,sep,173,2,99,failure,yes
2695,34,blue-collar,married,secondary,no,262,no,no,15,sep,89,2,106,success,yes
2696,56,services,married,secondary,no,654,no,no,15,sep,875,1,-1,unknown,yes
2697,32,technician,single,tertiary,no,1855,no,no,15,sep,126,2,134,unknown,yes
2698,50,management,divorced,tertiary,no,810,no,no,15,sep,91,1,103,success,yes
2699,54,unemployed,divorced,secondary,no,1664,no,no,15,sep,106,1,105,success,yes
2700,26,management,single,tertiary,no,362,no,no,15,sep,925,1,104,success,yes
2702,29,management,single,tertiary,no,874,yes,no,16,sep,152,1,103,success,yes
2705,46,management,married,tertiary,no,2817,no,no,17,sep,543,1,-1,unknown,yes
2706,26,management,single,tertiary,no,1646,no,no,18,sep,890,5,-1,unknown,yes
2707,25,management,single,tertiary,no,808,no,no,18,sep,267,2,114,failure,yes
2710,43,management,divorced,tertiary,no,2367,no,no,22,sep,83,1,113,success,yes
2712,37,admin.,single,tertiary,no,1000,yes,no,22,sep,239,1,99,success,yes
2715,47,admin.,married,secondary,no,2601,no,no,24,sep,261,1,-1,unknown,yes
2716,42,management,divorced,tertiary,no,238,no,no,25,sep,692,1,-1,unknown,yes
2718,61,management,married,tertiary,no,3371,no,no,28,sep,299,2,-1,unknown,yes
2720,34,management,married,tertiary,no,16,yes,no,29,sep,316,1,119,unknown,yes
2721,40,blue-collar,married,secondary,no,1451,no,no,30,sep,117,1,121,success,yes
2723,26,student,single,secondary,no,132,no,no,1,oct,194,1,119,success,yes
2725,47,management,married,tertiary,no,288,no,no,1,oct,101,1,-1,unknown,yes
2726,37,management,single,tertiary,no,1027,yes,no,1,oct,137,1,119,failure,yes
2728,54,management,married,tertiary,no,1464,no,no,2,oct,194,2,94,success,yes
2730,61,retired,married,secondary,no,2917,no,no,6,oct,215,1,-1,unknown,yes
2731,30,technician,single,secondary,no,158,no,no,6,oct,144,1,-1,unknown,yes
2732,60,retired,married,primary,no,1588,no,no,6,oct,728,1,-1,unknown,yes
2735,25,admin.,single,tertiary,no,1185,no,no,7,oct,290,1,114,failure,yes
2737,24,blue-collar,single,secondary,no,1857,yes,no,8,oct,147,1,92,unknown,yes
2739,58,retired,married,primary,no,565,no,no,8,oct,153,1,93,success,yes
2740,33,management,single,tertiary,no,1781,no,no,8,oct,611,2,183,success,yes
2741,27,admin.,married,secondary,no,3415,no,no,9,oct,266,3,184,success,yes
2743,56,unemployed,married,secondary,no,12,no,no,12,oct,511,3,187,failure,yes
2744,25,technician,single,secondary,no,139,no,yes,12,oct,138,1,-1,unknown,yes
2745,21,student,single,secondary,no,2488,no,no,12,oct,180,1,-1,unknown,yes
2747,67,management,divorced,tertiary,no,361,no,no,13,oct,411,2,-1,unknown,yes
2748,51,entrepreneur,divorced,tertiary,no,2109,no,no,13,oct,79,2,-1,unknown,yes
2750,35,management,single,tertiary,no,2646,no,no,13,oct,221,1,182,success,yes
2751,61,self-employed,divorced,tertiary,no,6,yes,no,13,oct,210,1,182,success,yes
2752,35,technician,single,tertiary,no,670,no,no,13,oct,301,2,-1,unknown,yes
2753,36,admin.,divorced,secondary,no,592,no,no,13,oct,204,2,99,failure,yes
2755,50,management,married,primary,no,313,no,no,14,oct,958,1,-1,unknown,yes
2756,66,housemaid,married,primary,no,40,no,no,14,oct,290,2,-1,unknown,yes
2758,30,management,single,tertiary,no,536,no,no,15,oct,244,1,105,success,yes
2759,54,blue-collar,married,primary,no,1311,no,no,15,oct,485,3,184,failure,yes
2760,26,admin.,single,secondary,no,766,no,no,15,oct,457,2,-1,unknown,yes
2761,43,services,married,primary,no,2557,yes,no,15,oct,166,3,183,success,yes
2762,40,unemployed,single,tertiary,no,79,no,no,15,oct,570,1,135,failure,yes
2763,57,management,married,tertiary,no,1318,no,no,16,oct,115,1,185,failure,yes
2767,22,services,single,secondary,no,129,no,no,16,oct,258,1,-1,unknown,yes
2768,50,management,married,tertiary,no,469,no,no,16,oct,170,1,183,success,yes
2769,27,management,married,tertiary,no,893,no,no,16,oct,154,2,-1,unknown,yes
2771,37,services,married,secondary,no,4017,no,no,16,oct,156,1,-1,unknown,yes
2772,44,technician,single,tertiary,no,643,no,no,16,oct,324,1,143,failure,yes
2773,40,technician,married,secondary,no,2338,no,no,16,oct,717,2,-1,unknown,yes
2774,61,management,married,tertiary,no,0,no,no,16,oct,136,2,-1,unknown,yes
2776,47,blue-collar,married,secondary,no,820,no,no,19,oct,98,1,-1,unknown,yes
2780,39,technician,married,tertiary,no,206,no,no,20,oct,148,2,195,success,yes
2781,72,retired,married,primary,no,1388,no,no,20,oct,513,1,-1,unknown,yes
2783,36,technician,married,secondary,no,480,no,no,20,oct,213,1,-1,unknown,yes
2784,65,retired,married,secondary,no,571,yes,no,20,oct,349,1,183,success,yes
2785,54,technician,married,secondary,no,3994,no,yes,20,oct,595,2,187,success,yes
2786,46,admin.,single,secondary,no,1693,yes,no,20,oct,427,1,-1,unknown,yes
2787,28,management,single,tertiary,no,80,no,no,20,oct,676,2,146,failure,yes
2788,61,management,married,tertiary,no,267,no,no,21,oct,192,3,184,success,yes
2789,53,housemaid,married,primary,no,2581,no,no,21,oct,828,1,189,failure,yes
2790,27,student,single,tertiary,no,1134,no,no,21,oct,825,1,183,success,yes
2791,55,unemployed,divorced,secondary,no,309,no,no,21,oct,467,2,184,success,yes
2794,57,management,married,tertiary,no,375,no,no,21,oct,135,1,-1,unknown,yes
2795,33,self-employed,single,tertiary,no,658,yes,no,21,oct,307,1,208,success,yes
2796,51,technician,married,secondary,no,371,yes,yes,21,oct,287,1,-1,unknown,yes
2798,19,student,single,secondary,no,329,no,no,22,oct,252,2,-1,unknown,yes
2799,33,admin.,married,tertiary,no,79,yes,no,22,oct,249,2,335,failure,yes
2800,55,management,divorced,tertiary,no,0,no,no,22,oct,360,5,-1,unknown,yes
2803,30,technician,single,tertiary,no,411,no,no,22,oct,127,3,149,failure,yes
2804,68,retired,single,tertiary,no,2144,no,no,22,oct,277,1,184,success,yes
2805,41,technician,single,tertiary,no,431,no,no,22,oct,133,1,107,success,yes
2806,29,self-employed,married,secondary,no,123,no,yes,22,oct,247,1,184,success,yes
2807,27,blue-collar,single,secondary,no,3792,no,no,22,oct,504,1,183,success,yes
2810,29,technician,single,tertiary,no,2178,no,no,22,oct,260,2,139,unknown,yes
2814,33,services,divorced,secondary,no,2411,yes,no,23,oct,130,1,161,failure,yes
2816,61,retired,married,secondary,no,86,no,no,23,oct,149,1,-1,unknown,yes
2821,35,technician,single,secondary,no,183,no,no,23,oct,281,1,52,failure,yes
2822,59,retired,married,primary,no,3648,no,no,23,oct,257,2,126,success,yes
2824,73,retired,married,primary,no,542,no,no,26,oct,355,1,180,failure,yes
2827,57,technician,married,secondary,no,254,no,no,27,oct,207,1,-1,unknown,yes
2829,38,blue-collar,single,secondary,no,0,no,no,27,oct,297,1,75,failure,yes
2830,52,services,married,secondary,no,992,yes,no,27,oct,424,1,515,failure,yes
2831,22,student,single,secondary,no,23,no,no,27,oct,137,1,-1,unknown,yes
2834,56,management,married,secondary,no,0,no,no,27,oct,298,1,111,unknown,yes
2835,38,housemaid,divorced,secondary,no,70,no,no,27,oct,255,3,148,success,yes
2838,36,student,single,tertiary,no,129,no,no,27,oct,149,1,-1,unknown,yes
2840,65,retired,married,primary,no,1004,no,no,28,oct,371,1,-1,unknown,yes
2842,30,admin.,single,secondary,no,914,yes,no,28,oct,524,3,272,failure,yes
2843,57,housemaid,married,tertiary,no,2326,no,no,28,oct,207,1,194,success,yes
2844,31,management,married,tertiary,no,81,yes,no,29,oct,164,2,-1,unknown,yes
2845,36,management,married,tertiary,no,203,no,no,29,oct,139,1,-1,unknown,yes
2846,64,management,married,tertiary,no,3951,no,no,29,oct,164,1,-1,unknown,yes
2848,26,admin.,single,secondary,no,338,no,no,29,oct,209,1,188,unknown,yes
2850,72,retired,married,secondary,no,0,no,no,29,oct,189,3,-1,unknown,yes
2851,30,management,married,tertiary,no,944,no,no,29,oct,251,2,-1,unknown,yes
2852,60,blue-collar,married,primary,no,5,no,no,29,oct,401,1,-1,unknown,yes
2853,30,management,single,tertiary,no,697,no,no,29,oct,215,3,80,success,yes
2854,66,retired,married,tertiary,no,1948,no,no,29,oct,106,2,269,failure,yes
2855,50,technician,married,secondary,no,3654,no,no,29,oct,215,2,78,unknown,yes
2856,47,management,single,tertiary,no,551,no,no,29,oct,124,1,-1,unknown,yes
2858,61,management,married,tertiary,no,477,yes,no,29,oct,377,1,520,unknown,yes
2859,47,management,married,tertiary,no,3663,no,no,29,oct,424,2,213,success,yes
2860,30,technician,single,secondary,no,853,no,no,29,oct,279,1,148,failure,yes
2863,26,technician,single,secondary,no,44,no,no,30,oct,217,1,-1,unknown,yes
2864,36,blue-collar,married,secondary,no,1193,no,no,30,oct,640,1,-1,unknown,yes
2867,70,retired,married,secondary,no,2384,no,no,30,oct,196,2,-1,unknown,yes
2868,60,management,married,tertiary,no,3401,no,no,30,oct,294,1,270,failure,yes
2869,41,services,married,tertiary,no,881,no,no,30,oct,257,3,-1,unknown,yes
2870,22,student,single,secondary,no,1522,no,no,30,oct,368,2,-1,unknown,yes
2872,54,technician,married,secondary,no,473,no,yes,2,nov,182,1,81,failure,yes
2877,37,management,married,tertiary,no,238,no,no,3,nov,149,1,-1,unknown,yes
2878,36,management,single,tertiary,no,62,yes,no,3,nov,566,1,182,failure,yes
2879,52,admin.,single,secondary,no,2398,yes,no,3,nov,412,1,-1,unknown,yes
2880,67,retired,divorced,secondary,no,704,no,no,3,nov,537,1,-1,unknown,yes
2881,36,self-employed,married,tertiary,no,506,no,no,3,nov,217,1,70,failure,yes
2883,29,technician,single,secondary,no,938,no,no,3,nov,358,1,-1,unknown,yes
2884,27,management,single,tertiary,no,1720,no,no,3,nov,284,2,273,failure,yes
2886,34,management,married,tertiary,no,1778,no,no,4,nov,358,1,162,failure,yes
2887,54,technician,married,secondary,no,0,no,no,6,nov,464,5,192,unknown,yes
2888,67,retired,married,primary,no,942,no,no,6,nov,455,2,84,unknown,yes
2889,24,technician,married,secondary,no,556,yes,no,6,nov,368,2,80,success,yes
2891,33,student,married,secondary,no,1536,no,no,9,nov,262,1,94,success,yes
2892,24,student,single,tertiary,no,235,no,no,9,nov,118,1,-1,unknown,yes
2893,32,management,single,tertiary,no,935,no,no,9,nov,165,1,91,success,yes
2895,64,entrepreneur,married,tertiary,no,2331,no,no,9,nov,201,1,-1,unknown,yes
2896,35,management,single,tertiary,no,1228,no,no,9,nov,696,2,88,failure,yes
2897,24,student,single,secondary,no,125,no,no,9,nov,263,1,90,failure,yes
2898,42,management,married,tertiary,no,2816,no,no,10,nov,193,2,-1,unknown,yes
2899,40,management,married,tertiary,no,0,no,no,10,nov,147,1,96,success,yes
2901,71,housemaid,divorced,primary,no,1311,no,no,10,nov,301,2,91,success,yes
2902,52,unemployed,married,secondary,no,94,no,no,10,nov,293,3,190,failure,yes
2903,47,admin.,married,secondary,no,0,no,no,10,nov,213,1,190,unknown,yes
2904,49,management,married,primary,no,3371,no,no,11,nov,269,2,-1,unknown,yes
2905,26,management,single,tertiary,no,943,no,no,11,nov,166,1,195,success,yes
2908,33,services,married,secondary,no,1076,no,no,11,nov,131,1,96,failure,yes
2909,35,management,married,tertiary,no,0,yes,no,11,nov,229,2,96,success,yes
2910,53,management,married,tertiary,no,1624,no,no,11,nov,166,3,97,success,yes
2912,44,self-employed,divorced,tertiary,no,1070,yes,no,11,nov,172,1,91,success,yes
2913,21,student,single,secondary,no,123,no,no,11,nov,513,1,91,success,yes
2914,36,blue-collar,single,secondary,no,3623,no,no,12,nov,71,1,378,success,yes
2915,31,management,single,tertiary,no,533,no,no,12,nov,90,3,93,success,yes
2916,42,technician,married,secondary,no,994,yes,no,12,nov,227,3,93,success,yes
2917,33,services,married,secondary,no,386,no,no,12,nov,253,1,92,failure,yes
2918,29,management,single,tertiary,no,1026,no,no,12,nov,226,1,92,unknown,yes
2919,30,unemployed,single,secondary,no,2424,no,no,12,nov,110,1,279,failure,yes
2920,32,management,married,tertiary,no,1331,no,no,12,nov,126,1,92,failure,yes
2924,48,blue-collar,married,secondary,no,1230,yes,no,12,nov,169,1,196,success,yes
2928,43,services,single,secondary,no,3403,yes,no,12,nov,707,2,97,success,yes
2929,33,technician,married,secondary,no,133,no,no,12,nov,627,2,192,success,yes
2933,71,retired,married,primary,no,2600,no,no,13,nov,186,2,98,success,yes
2934,39,admin.,married,secondary,no,260,yes,no,13,nov,226,1,94,success,yes
2935,18,student,single,primary,no,608,no,no,13,nov,210,1,93,success,yes
2936,58,services,divorced,secondary,no,462,no,no,13,nov,495,1,93,success,yes
2937,44,technician,divorced,secondary,no,14,no,no,13,nov,167,1,92,success,yes
2938,67,retired,married,secondary,no,1146,no,no,13,nov,259,1,92,failure,yes
2939,31,services,single,secondary,no,181,no,no,13,nov,239,2,93,success,yes
2940,61,retired,married,secondary,no,3114,no,no,13,nov,381,1,-1,unknown,yes
2941,36,technician,single,secondary,no,376,no,no,13,nov,193,1,92,success,yes
2943,24,student,single,secondary,no,382,no,no,13,nov,256,2,92,failure,yes
2944,33,admin.,married,secondary,no,920,no,no,16,nov,130,1,95,failure,yes
2946,58,admin.,married,secondary,no,169,no,no,16,nov,301,1,94,failure,yes
2948,27,blue-collar,single,secondary,no,535,no,no,16,nov,183,1,94,success,yes
2949,63,management,married,tertiary,no,3115,no,no,16,nov,432,5,-1,unknown,yes
2950,23,student,single,secondary,no,1234,no,no,16,nov,250,1,-1,unknown,yes
2951,37,technician,single,tertiary,no,197,no,no,16,nov,175,1,200,success,yes
2952,43,management,married,tertiary,no,3186,no,no,16,nov,380,1,88,failure,yes
2953,35,technician,married,tertiary,no,3160,yes,no,16,nov,445,2,95,failure,yes
2954,33,blue-collar,married,primary,no,195,no,no,16,nov,984,5,-1,unknown,yes
2956,40,admin.,married,tertiary,no,764,yes,no,17,nov,85,1,-1,unknown,yes
2957,52,management,married,tertiary,no,583,no,no,17,nov,209,1,91,failure,yes
2958,55,technician,divorced,tertiary,no,0,no,no,17,nov,134,2,91,success,yes
2962,52,technician,married,secondary,no,234,no,no,17,nov,255,1,-1,unknown,yes
2966,28,student,single,secondary,no,1925,no,no,25,nov,487,1,97,failure,yes
2967,72,retired,married,secondary,no,1129,no,no,25,nov,208,1,91,success,yes
2968,29,admin.,single,secondary,no,265,yes,no,25,nov,414,1,184,failure,yes
2969,46,housemaid,married,secondary,no,38,no,no,25,nov,541,1,-1,unknown,yes
2970,53,technician,married,secondary,no,1982,yes,yes,27,nov,160,1,-1,unknown,yes
2972,22,student,single,tertiary,no,691,no,no,30,nov,260,5,103,success,yes
2973,28,admin.,married,secondary,no,330,no,no,2,dec,357,1,188,unknown,yes
2974,31,technician,married,secondary,no,318,no,no,2,dec,310,1,-1,unknown,yes
2975,26,blue-collar,single,tertiary,no,644,no,no,2,dec,346,1,-1,unknown,yes
2976,60,retired,divorced,tertiary,no,4,yes,no,2,dec,415,1,190,failure,yes
2977,29,technician,single,secondary,no,1165,no,no,3,dec,244,2,184,success,yes
2979,68,retired,married,tertiary,no,2820,no,no,3,dec,154,1,97,failure,yes
2980,48,management,married,tertiary,no,1147,no,no,3,dec,155,1,120,success,yes
2981,53,unemployed,married,primary,no,980,yes,no,3,dec,352,1,-1,unknown,yes
2982,39,technician,married,secondary,no,2983,no,no,3,dec,472,1,-1,unknown,yes
2983,28,services,single,secondary,no,339,no,no,3,dec,350,1,182,success,yes
2985,29,management,single,tertiary,no,1445,no,no,4,dec,271,2,-1,unknown,yes
2986,26,student,single,tertiary,no,294,no,no,4,dec,208,2,-1,unknown,yes
2990,44,admin.,single,secondary,no,733,yes,no,4,dec,360,2,105,success,yes
2992,39,management,married,tertiary,no,481,no,no,7,dec,929,5,189,unknown,yes
2993,29,student,single,secondary,no,314,no,no,7,dec,415,2,116,failure,yes
2994,31,technician,married,secondary,no,684,yes,no,7,dec,620,3,-1,unknown,yes
2995,30,student,single,secondary,no,1681,no,no,7,dec,329,2,-1,unknown,yes
2998,37,admin.,married,secondary,no,0,yes,no,9,dec,179,1,190,success,yes
2999,49,technician,married,secondary,no,307,no,no,9,dec,854,1,-1,unknown,yes
3000,59,unemployed,married,secondary,no,957,no,no,9,dec,479,2,-1,unknown,yes
3006,49,management,married,tertiary,no,395,no,no,10,dec,336,5,-1,unknown,yes
3007,69,retired,married,secondary,no,3588,yes,no,10,dec,429,1,-1,unknown,yes
3009,32,management,divorced,tertiary,no,883,yes,no,10,dec,798,1,185,unknown,yes
3011,58,management,married,tertiary,no,256,no,no,10,dec,422,1,188,success,yes
3012,64,retired,married,primary,no,43,no,no,10,dec,232,1,-1,unknown,yes
3013,72,retired,married,primary,no,3856,no,no,10,dec,582,4,115,unknown,yes
3015,30,technician,married,secondary,no,2326,no,no,14,dec,420,1,175,failure,yes
3016,36,management,married,tertiary,no,925,no,no,14,dec,321,3,189,success,yes
3017,53,entrepreneur,married,tertiary,no,1961,no,no,15,dec,351,1,-1,unknown,yes
3018,34,management,married,tertiary,no,2037,no,no,15,dec,324,2,-1,unknown,yes
3019,29,student,single,secondary,no,459,no,no,15,dec,279,3,189,unknown,yes
3020,29,management,single,tertiary,no,572,no,no,16,dec,314,1,195,success,yes
3023,72,retired,married,secondary,no,1533,no,no,16,dec,546,2,-1,unknown,yes
3024,34,services,married,secondary,no,1337,no,no,17,dec,330,2,127,success,yes
3026,66,housemaid,married,primary,no,1230,no,no,17,dec,726,3,-1,unknown,yes
3027,27,student,single,secondary,no,538,no,no,18,dec,170,4,197,success,yes
3030,50,services,married,secondary,no,320,no,no,21,dec,294,3,315,success,yes
3031,32,admin.,single,secondary,no,131,yes,no,21,dec,322,1,189,success,yes
3032,59,retired,married,primary,no,2074,no,no,21,dec,467,1,186,success,yes
3034,31,technician,married,tertiary,no,3338,yes,no,21,dec,264,2,-1,unknown,yes
3035,64,self-employed,married,tertiary,no,661,no,no,21,dec,367,2,294,failure,yes
3037,60,admin.,married,secondary,no,3735,no,no,22,dec,190,1,188,success,yes
3038,35,management,single,tertiary,no,538,no,no,22,dec,410,3,165,unknown,yes
3040,30,blue-collar,married,primary,no,5,no,no,23,dec,282,1,203,success,yes
3041,52,unemployed,divorced,secondary,no,230,no,no,24,dec,422,2,-1,unknown,yes
3042,33,management,married,tertiary,no,1808,no,no,28,dec,250,3,-1,unknown,yes
3044,43,management,married,tertiary,no,3518,no,no,28,dec,206,2,196,success,yes
3045,39,technician,single,tertiary,no,25,yes,no,28,dec,315,1,210,success,yes
3046,25,technician,married,tertiary,no,2551,no,no,28,dec,400,3,-1,unknown,yes
3050,32,management,single,tertiary,no,718,yes,no,29,dec,155,1,197,success,yes
3051,23,services,single,secondary,no,870,no,no,29,dec,296,1,176,success,yes
3053,61,management,married,secondary,no,544,no,no,29,dec,63,3,200,success,yes
3054,46,management,divorced,tertiary,no,461,no,no,30,dec,369,2,-1,unknown,yes
3055,70,retired,married,primary,no,2795,no,no,8,jan,301,2,-1,unknown,yes
3056,25,technician,single,secondary,no,139,no,yes,11,jan,202,1,91,success,yes
3057,57,retired,married,secondary,no,1044,no,no,11,jan,585,1,192,success,yes
3058,55,admin.,married,secondary,no,1633,no,no,11,jan,210,1,192,success,yes
3060,73,retired,married,primary,no,1388,no,no,11,jan,767,2,83,success,yes
3061,34,unemployed,single,secondary,no,15,no,no,12,jan,377,1,-1,unknown,yes
3062,31,technician,single,secondary,no,2544,no,no,12,jan,229,1,279,success,yes
3063,25,blue-collar,single,secondary,no,2007,no,no,12,jan,265,2,-1,unknown,yes
3064,30,technician,married,tertiary,no,2166,no,no,12,jan,316,2,-1,unknown,yes
3066,21,student,single,secondary,no,2488,no,no,12,jan,661,2,92,success,yes
3068,22,student,single,secondary,no,254,no,no,13,jan,143,2,-1,unknown,yes
3069,28,self-employed,single,tertiary,no,1579,no,no,13,jan,163,1,91,failure,yes
3070,31,unemployed,married,tertiary,no,330,no,no,13,jan,260,1,194,success,yes
3071,60,retired,married,secondary,no,938,no,no,13,jan,380,3,-1,unknown,yes
3073,24,student,single,secondary,no,3176,no,no,13,jan,108,2,-1,unknown,yes
3074,54,management,divorced,tertiary,no,496,no,no,13,jan,452,3,-1,unknown,yes
3076,70,retired,divorced,primary,no,482,no,no,14,jan,372,1,196,success,yes
3077,62,blue-collar,married,secondary,no,180,no,no,14,jan,183,1,90,unknown,yes
3079,48,unemployed,married,secondary,no,817,no,no,14,jan,517,1,282,success,yes
3082,33,services,single,secondary,no,133,no,no,14,jan,305,2,274,success,yes
3083,32,admin.,married,secondary,no,366,no,no,14,jan,366,2,-1,unknown,yes
3084,60,retired,divorced,tertiary,no,979,yes,no,15,jan,295,3,347,failure,yes
3085,39,management,married,tertiary,no,2939,no,no,15,jan,348,2,-1,unknown,yes
3089,64,retired,married,secondary,no,588,no,no,18,jan,366,1,91,failure,yes
3090,42,technician,married,secondary,no,994,yes,no,18,jan,453,1,67,success,yes
3091,47,blue-collar,married,secondary,no,820,no,no,18,jan,262,1,91,success,yes
